Time           Event Type     Request ID     Core ID   Service Time   Remaining Time 
1230           Quantum_done   51             3         160.768        70.7683        
1230           Quantum_done   52             0         159.543        69.543         
1325           Quantum_done   53             1         161.437        71.4367        
1325           Quantum_done   54             2         159.885        69.8852        
1325           Quantum_done   55             3         159.416        69.4163        
1325           Quantum_done   56             0         162.778        72.7781        
1420           Quantum_done   57             1         160.172        70.1719        
1420           Quantum_done   58             2         160.695        70.6947        
1420           Quantum_done   59             3         160.427        70.4266        
1420           Quantum_done   60             0         160.71         70.7101        
1515           Quantum_done   61             1         158.805        68.8049        
1515           Quantum_done   62             2         160.719        70.7194        
1515           Quantum_done   63             3         159.775        69.7747        
1515           Quantum_done   64             0         159.162        69.162         
1610           Quantum_done   65             1         158.95         68.9499        
1610           Quantum_done   66             2         160.728        70.7281        
1610           Quantum_done   67             3         158.902        68.9019        
1610           Quantum_done   68             0         159.36         69.3597        
1705           Quantum_done   69             1         160.34         70.3404        
1705           Quantum_done   70             2         160.383        70.3835        
1705           Quantum_done   71             3         159.948        69.9475        
1705           Quantum_done   72             0         159.099        69.0988        
1800           Quantum_done   73             1         159.328        69.3284        
1800           Quantum_done   74             2         160.282        70.2825        
1800           Quantum_done   75             3         159.161        69.1611        
1800           Quantum_done   76             0         158.899        68.8987        
1895           Quantum_done   77             1         160.608        70.6085        
1895           Quantum_done   78             2         159.817        69.8168        
1895           Quantum_done   79             3         158.442        68.4419        
1895           Quantum_done   80             0         159.956        69.9559        
1990           Quantum_done   81             1         160.459        70.4593        
1990           Quantum_done   82             2         158.146        68.1457        
1990           Quantum_done   83             3         159.198        69.1977        
1990           Quantum_done   84             0         158.883        68.8828        
2085           Quantum_done   85             1         160.662        70.6615        
2085           Quantum_done   86             2         161.527        71.5267        
2085           Quantum_done   87             3         160.75         70.7501        
2085           Quantum_done   88             0         159.681        69.6806        
2180           Quantum_done   89             1         159.969        69.9687        
2180           Quantum_done   90             2         160.859        70.859         
2180           Quantum_done   91             3         159.355        69.3549        
2180           Quantum_done   92             0         161.554        71.5537        
2275           Quantum_done   93             1         159.817        69.8168        
2275           Quantum_done   94             2         159.792        69.7916        
2275           Quantum_done   95             3         159.464        69.4639        
2275           Quantum_done   96             0         160.943        70.9429        
2370           Quantum_done   97             1         160.255        70.255         
2370           Quantum_done   98             2         160.661        70.6611        
2370           Quantum_done   99             3         159.691        69.6907        
2370           Quantum_done   100            0         159.104        69.1037        
2445.16        Departure      2              2         160.161        0              
2445.41        Departure      3              3         160.409        0              
2445.8         Departure      1              1         160.803        0              
2445.92        Departure      4              0         160.92         0              
2518.07        Departure      6              2         157.91         0              
2521.11        Departure      7              3         160.697        0              
2521.18        Departure      5              1         160.374        0              
2522.12        Departure      8              0         161.202        0              
2593.98        Departure      10             2         160.912        0              
2594.37        Departure      11             3         158.267        0              
2596.37        Departure      9              1         160.197        0              
2597.12        Departure      12             0         159.999        0              
2668.62        Departure      14             2         159.639        0              
2669.71        Departure      15             3         160.335        0              
